site_a,site_b,a_overlap_b,b_overlap_a
"nbcnews.com","abcnews.com",0.08,0.14
"msnbc.com","abcnews.com",0.06,0.00
"msnbc.com","cnn.com",0.35,0.00
"abcnews.com","cnn.com",0.24,0.00
"realclearpolitics.com","foxnews.com",0.24,0.00
"abcnews.com","foxnews.com",0.16,0.00
"politico","huffpost.com",0.14,0.08
"washingtonpost.com","huffpost.com",0.07,0.13
"msnbc.com","huffpost.com",0.12,0.00
"nbcnews.com","msnbc.com",0.05,0.00
"politico","nbcnews.com",0.11,0.08
"washingtonpost.com","nbcnews.com",0.06,0.14
"foxnews.com","nbcnews.com",0.06,0.15
"npr.org","nbcnews.com",0.07,0.00
"vox.com","npr.org",0.07,0.06
"washingtonpost.com","nytimes.com",0.30,0.14
"fivethirtyeight","nytimes.com",0.28,0.00
"politico","nytimes.com",0.31,0.00
"foxnews.com","nytimes.com",0.09,0.00
"nbcnews.com","nytimes.com",0.18,0.00
"thehill.com","nytimes.com",0.23,0.00
"msnbc.com","nytimes.com",0.19,0.00
"huffpost.com","nytimes.com",0.17,0.00
"cnn.com","nytimes.com",0.12,0.00
"abcnews.com","nytimes.com",0.16,0.00
"npr.org","nytimes.com",0.21,0.00
"fivethirtyeight","politico",0.13,0.31
"nbcnews.com","politico",0.08,0.00
"msnbc.com","politico",0.10,0.00
"realclearpolitics.com","politico",0.16,0.00
"abcnews.com","politico",0.06,0.00
"npr.org","politico",0.05,0.00
"fivethirtyeight","realclearpolitics.com",0.07,0.08
"thehill.com","realclearpolitics.com",0.07,0.17
"npr.org","theatlantic.com",0.06,0.08
"politico","theatlantic.com",0.10,0.08
"vox.com","theatlantic.com",0.09,0.10
"washingtonpost.com","theatlantic.com",0.06,0.16
"nytimes.com","theatlantic.com",0.05,0.26
"fivethirtyeight","theatlantic.com",0.08,0.00
"huffpost.com","theatlantic.com",0.05,0.00
"washingtonpost.com","theguardian.com",0.13,0.08
"nytimes.com","theguardian.com",0.12,0.14
"politico","theguardian.com",0.14,0.00
"vox.com","theguardian.com",0.14,0.00
"huffpost.com","theguardian.com",0.10,0.00
"cnn.com","theguardian.com",0.08,0.00
"npr.org","theguardian.com",0.10,0.00
"theatlantic.com","theguardian.com",0.16,0.00
"nbcnews.com","thehill.com",0.08,0.11
"politico","thehill.com",0.17,0.17
"foxnews.com","thehill.com",0.05,0.19
"washingtonpost.com","thehill.com",0.06,0.19
"fivethirtyeight","thehill.com",0.08,0.00
"msnbc.com","thehill.com",0.08,0.00
"huffpost.com","thehill.com",0.05,0.00
"abcnews.com","thehill.com",0.07,0.00
"politico","vox.com",0.10,0.08
"washingtonpost.com","vox.com",0.06,0.15
"fivethirtyeight","vox.com",0.11,0.00
"huffpost.com","vox.com",0.05,0.00
"fivethirtyeight","washingtonpost.com",0.18,0.08
"politico","washingtonpost.com",0.25,0.08
"foxnews.com","washingtonpost.com",0.07,0.00
"nbcnews.com","washingtonpost.com",0.14,0.00
"msnbc.com","washingtonpost.com",0.16,0.00
"huffpost.com","washingtonpost.com",0.13,0.00
"realclearpolitics.com","washingtonpost.com",0.16,0.00
"cnn.com","washingtonpost.com",0.08,0.00
"abcnews.com","washingtonpost.com",0.12,0.00
"npr.org","washingtonpost.com",0.13,0.00
